WARNING 2024-03-02 23:47:20,642 Not Found: /static/admin/js/theme.js
WARNING 2024-03-02 23:47:20,643 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:47:20,643 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:47:20,644 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:47:20,644 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:47:20,644 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:47:20,644 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:47:20,646 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-03-02 23:47:20,647 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
INFO 2024-03-02 23:48:24,762 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4319
WARNING 2024-03-02 23:48:24,767 Not Found: /static/admin/css/dark_mode.css
WARNING 2024-03-02 23:48:24,768 Not Found: /static/admin/css/base.css
WARNING 2024-03-02 23:48:24,768 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:48:24,769 Not Found: /static/admin/css/login.css
WARNING 2024-03-02 23:48:24,769 Not Found: /static/admin/css/responsive.css
WARNING 2024-03-02 23:48:24,770 Not Found: /static/admin/js/theme.js
WARNING 2024-03-02 23:48:24,770 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:24,770 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:24,771 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:24,771 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:24,771 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:24,772 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:24,773 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-03-02 23:48:24,774 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
INFO 2024-03-02 23:48:40,573 "GET /admin/storeapp/client/ HTTP/1.1" 200 14727
WARNING 2024-03-02 23:48:40,607 Not Found: /static/admin/css/base.css
WARNING 2024-03-02 23:48:40,608 Not Found: /static/admin/css/dark_mode.css
